id,mean_cc_gain,mean_cross_gain,mean_snr_power,zone,model
114,1.2085174931129155,2.9104004975252775,0.6244796652531694,ablation,13_isken_filter
46,1.076086710743353,2.2180448292261805,1.0789686800966625,ablation,13_isken_filter
19,1.188047680039493,1.34568218304911,0.743497216465681,ablation,13_isken_filter
37,1.1926537009742946,1.4629592196085779,0.90646600353973,ablation,13_isken_filter
65,1.1816828643921895,1.4519104127745628,0.8504293117684495,ablation,13_isken_filter
62,1.0615518696877215,1.4467057681932383,0.9562879970822697,ablation,13_isken_filter
97,1.2037633578276958,2.07057623898552,0.9942318767593438,ablation,13_isken_filter
0,1.1142343749691386,2.3992422339374797,0.9938098994342159,ablation,13_isken_filter
79,1.0279696973056827,3.0334662000203054,0.8928980107501174,ablation,13_isken_filter
12,1.185656055363435,1.4269618913259203,1.0858886167365538,ablation,13_isken_filter
99,1.0609953838260706,1.9652120309533112,1.150844987856356,ablation,13_isken_filter
21,1.239179842540485,1.9076087931589483,1.0382498145428634,ablation,13_isken_filter
112,1.1414511743287967,1.7900902508347254,1.1201873244064633,ablation,13_isken_filter
67,1.2144750601953522,1.2443571534922477,0.9194346952559705,ablation,13_isken_filter
113,1.2740584257522918,1.8073267612202675,1.1742037198898145,ablation,13_isken_filter
55,1.0444494167998986,1.6377677905481853,0.8137604145854431,ablation,13_isken_filter
49,1.0736687171286998,1.6970384410033295,1.0394431222777103,ablation,13_isken_filter
77,1.1322499994389774,2.1873328118458146,1.0308089459519107,ablation,13_isken_filter
101,1.0482348758972342,1.6480689039669276,0.6770401426611456,ablation,13_isken_filter
50,1.1118939530041643,1.7252311988092603,0.7547782202780943,ablation,13_isken_filter
27,1.0863776430202423,2.8909031926275115,0.937779046348,ablation,13_isken_filter
87,1.1255251532478963,1.4391922441712373,0.9519359723700828,ablation,13_isken_filter
98,1.1789737733825305,1.4553967133421681,1.017728353480943,ablation,13_isken_filter
28,1.1149189683912124,1.7534133126483935,1.144520674633944,ablation,13_isken_filter
29,1.222938180531974,2.260733237285898,1.1563754917292646,ablation,13_isken_filter
71,1.163954298712167,1.8746097917184426,0.8168835122910867,ablation,13_isken_filter
69,3.0487797576699647,1.6446674663818532,0.6565340360922571,ablation,13_isken_filter
116,1.1987975002586218,2.1665146000625146,0.978638931241313,ablation,13_isken_filter
24,1.1809622322171038,1.0595430209787882,1.276893234978754,ablation,13_isken_filter
84,1.2122937206232502,1.2266191159944932,1.161124277109053,ablation,13_isken_filter
20,1.0951468107362354,2.7490227793515563,0.8056698691627804,ablation,13_isken_filter
2,1.1401802386736457,1.6942083257527356,0.9508146882892273,ablation,13_isken_filter
6,1.1606525339636478,1.6879973274607787,1.3731573193078583,ablation,13_isken_filter
30,1.1457033861875778,1.0906408645818437,1.0109078335106307,ablation,13_isken_filter
47,1.1635829640616548,2.8590000594406533,1.4792908091514148,ablation,13_isken_filter
38,1.0813303873349087,3.56270720626869,1.2479014108855262,ablation,13_isken_filter
74,1.0661947278674746,2.0906770928197833,0.8026256627325077,ablation,13_isken_filter
40,1.16785025599632,1.186178886490491,1.0650923657844673,ablation,13_isken_filter
31,1.0471320602878822,2.58722282501008,1.0335965553313091,ablation,13_isken_filter
36,1.0526085543726376,2.76475140270482,0.7289867503630093,ablation,13_isken_filter
83,1.2624043627641173,1.218138707162878,0.825491923440957,ablation,13_isken_filter
5,1.292942840821455,1.2607919521872897,0.8974762908143822,ablation,13_isken_filter
51,1.0860054722971058,2.452497276359069,0.7828510650632428,ablation,13_isken_filter
34,1.0999534655770637,1.853290354132537,0.8857243459035459,ablation,13_isken_filter
68,1.24331044116398,1.4045303526677126,1.1149051093850888,ablation,13_isken_filter
72,1.215264739585748,1.193222265362774,0.7481785183305996,ablation,13_isken_filter
25,1.1188926655505718,2.722986309715748,0.8373811926493582,ablation,13_isken_filter
85,1.1065556801732335,1.4685266088669204,1.3150239033211846,ablation,13_isken_filter
7,1.0720018653666414,3.0607644084017416,0.6843407994764414,ablation,13_isken_filter
59,1.176421453970395,1.6604589121233342,1.1125143942123772,ablation,13_isken_filter
8,1.1982533122336485,1.6445732382560607,1.050407122609598,ablation,13_isken_filter
4,1.2394165165922868,3.134727839652688,1.4574313585042193,ablation,13_isken_filter
117,1.1112419063832184,1.4846755407837648,1.0431252417585029,ablation,13_isken_filter
88,1.2678143139280746,2.607232242427155,1.3375147508158858,ablation,13_isken_filter
42,1.0881159155866342,1.4319986985457314,0.8085235780035432,ablation,13_isken_filter
91,1.2074939223179066,1.3868002919877975,1.2169037272867593,ablation,13_isken_filter
33,1.1633197368824153,1.291617527318449,1.1510427830071266,ablation,13_isken_filter
63,1.164331773561231,1.7761697199248223,1.1596133939078035,ablation,13_isken_filter
118,1.2389730434068746,1.9014193272366982,0.8428777645106054,ablation,13_isken_filter
14,1.0640058017433027,2.968877564077732,0.9927793994411279,ablation,13_isken_filter
41,1.1405974376814565,1.9891368598951658,1.1040132961625186,ablation,13_isken_filter
45,1.2267377787535285,1.8578857573726613,1.3678401158445628,ablation,13_isken_filter
92,1.0972010593824806,1.7223375746251428,0.7023719598709842,ablation,13_isken_filter
89,1.1001917606848113,2.6275309159152784,1.0431876319309135,ablation,13_isken_filter
109,1.1807241970069007,1.2717294118940956,1.4271285685195472,ablation,13_isken_filter
48,1.2171908711765276,1.8176288047773799,1.114619703428399,ablation,13_isken_filter
102,1.1076748663197016,1.8025794792583325,1.0531995308488264,ablation,13_isken_filter
56,1.1606467627776234,2.4021608870620064,0.9512961584317964,ablation,13_isken_filter
81,1.1158649782349983,2.6517905018323966,1.2064102228468145,ablation,13_isken_filter
11,1.2133481573321694,2.096182496498427,0.878651341227287,ablation,13_isken_filter
110,1.0997512191660999,2.7427847801880847,1.335296617403241,ablation,13_isken_filter
103,1.1355909766619063,1.0501163648588772,0.7273889863006029,ablation,13_isken_filter
115,1.1069813586611803,2.0686455314122827,0.9765330137036148,ablation,13_isken_filter
60,1.0904176888010546,3.1502120063198396,0.6421720769927183,ablation,13_isken_filter
26,1.08651130258274,1.6881623388569413,0.7097541336528549,ablation,13_isken_filter
93,1.0802212894290415,1.6295362327375107,1.094816355496249,ablation,13_isken_filter
